"Unidade de Saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"5473764 UNIDADE DE SAUDE SANTA HELENA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4"
"5473810 UNIDADE DE SAUDE LOMBA DO PINHEIRO";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"5878632 UNIDADE DE SAUDE PANORAMA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"5"
"6130917 UNIDADE DE SAUDE NOSSA SENHORA DE BELEM";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4"
"6247938 UNIDADE DE SAUDE VILA NOVA IPANEMA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"6676227 UNIDADE DE SAUDE PAULO VIARO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"6883184 CLINICA DA FAMILIA MOAB CALDAS";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4"
"6883257 UNIDADE DE SAUDE BOM JESUS";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"8"
"6883303 CLINICA DA FAMILIA IAPI";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"21"
"6883354 CLINICA DA FAMILIA SANTA MARTA";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6"
"6924492 AMBULATORIO DE ESPECIALIDADES CAMAQUA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"6950086 SAE IAPI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"7049579 UNIDADE DE SAUDE FRADIQUE VIZEU";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"7076584 UNIDADE DE SAUDE CHAPEU DO SOL";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4"
"7150547 UNIDADE DE SAUDE VILA FATIMA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3"
"7449283 UNIDADE DE SAUDE DOMENICO FEOLI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"7497547 UNIDADE DE SAUDE NUCLEO ESPERANCA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"7517904 UNIDADE DE SAUDE PAULO AVILA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"8006830 UNIDADE DE SAUDE CERES";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4"
"8006849 UNIDADE DE SAUDE ERNESTO ARAUJO";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"8006865 CLINICA DA FAMILIA CAMPO DA TUCA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"8006873 UNIDADE DE SAUDE MORRO DA CRUZ";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"8006881 AMBULATORIO DE ESPECIALIDADES MURIALDO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"8006903 UNIDADE DE SAUDE SANTO ALFREDO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"8013632 UNIDADE DE SAUDE MORADAS DA HIPICA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"9132562 AMBULATORIO DE ESPECIALIDADES VILA DOS COMERCIARIOS";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Total";"295";"18";"545";"573";"718";"648";"620";"394";"432";"764";"1242";"840";"7089"
